trace_id,stv,anomaly_score
982923cb5ae1a2a5,"[9000, 7946, 7639, 6758, 3299, 779, 675, 2436, 644, 55, 27, 30, 973, 1867, 1607, 953, 539, 1281, 2168, 493, 2368, 429, 1449, 616, 1532, 1330, 878, 461, 732, 355, 79, 0, 0]",0
30c7abe403b1e4bb,"[8728, 8447, 8080, 7010, 994, 3297, 666, 832, 2428, 56, 56, 57, 1077, 1850, 1588, 948, 543, 1095, 2045, 372, 2332, 311, 1248, 469, 1528, 1319, 889, 286, 678, 550, 80, 0, 0]",0
3bd0b56a92772176,"[9067, 8305, 7951, 6119, 776, 641, 2710, 496, 47, 1932, 47, 28, 970, 1460, 1287, 882, 334, 746, 1677, 2208, 1031, 335, 287, 442, 1424, 1252, 923, 403, 515, 470, 72, 0, 0]",0
50472f2dedb5309b,"[8397, 7500, 7125, 6093, 2953, 690, 658, 2267, 47, 622, 51, 1132, 1790, 66, 1509, 875, 532, 1360, 1990, 2283, 443, 1652, 1297, 379, 1479, 550, 1020, 486, 659, 453, 72, 0, 0]",0
09b28f1036f41153,"[8395, 7639, 7299, 6275, 2548, 785, 595, 1936, 669, 51, 20, 1104, 1520, 36, 1296, 896, 339, 1100, 1800, 518, 474, 2605, 1135, 677, 1628, 1462, 995, 499, 385, 420, 72, 0, 0]",0
af9eb28f5ed8c224,"[8377, 7519, 7226, 6307, 2934, 776, 2145, 591, 694, 80, 54, 57, 1226, 1627, 1372, 869, 403, 1113, 2167, 2361, 515, 453, 1332, 629, 1426, 1260, 839, 398, 614, 395, 71, 0, 0]",0
b99e4a9c8a950e69,"[6800, 6685, 6379, 5518, 2131, 725, 696, 1555, 600, 44, 39, 852, 1188, 25, 1013, 654, 305, 835, 1638, 2215, 318, 276, 974, 397, 1420, 1230, 910, 410, 531, 420, 73, 0, 0]",0
5ed0f854ab589ffe,"[7836, 6963, 6681, 5798, 2737, 828, 698, 2227, 557, 47, 867, 1845, 20, 58, 1601, 903, 604, 1037, 1906, 484, 2059, 424, 1285, 638, 1542, 1372, 885, 333, 563, 502, 72, 0, 0]",0
0481611e06f414cc,"[6871, 6580, 6284, 5528, 2210, 931, 644, 1646, 495, 44, 40, 25, 1008, 1186, 1036, 686, 301, 857, 2021, 1283, 425, 2133, 381, 617, 1307, 1122, 768, 262, 588, 420, 71, 0, 0]",0
5d242e7b7b342484,"[7137, 6334, 6030, 5224, 2300, 719, 1676, 654, 631, 40, 45, 48, 1000, 1221, 1070, 698, 324, 947, 1914, 2029, 1318, 438, 395, 742, 1332, 1165, 781, 327, 368, 505, 75, 0, 0]",0
90ca15970d08f604,"[7642, 6380, 6098, 5383, 2439, 1783, 647, 860, 682, 831, 1420, 44, 49, 21, 1243, 754, 432, 1019, 1479, 1056, 313, 478, 1890, 271, 1222, 1057, 499, 733, 352, 311, 72, 0, 0]",0
f8a9519ae3848c73,"[7038, 6914, 6602, 5747, 2501, 771, 1806, 702, 661, 45, 52, 52, 838, 1216, 1031, 657, 319, 838, 1824, 2265, 422, 1198, 379, 553, 1431, 1267, 885, 466, 598, 347, 72, 0, 0]",0
af3f0164e530961c,"[8173, 7488, 7193, 6357, 3141, 2432, 917, 787, 740, 60, 44, 55, 891, 1902, 1597, 948, 534, 1166, 1878, 2215, 1145, 477, 542, 414, 1482, 1306, 935, 477, 542, 383, 79, 0, 0]",0
a95dae24abe19c51,"[8460, 7964, 7653, 6688, 2906, 905, 2131, 910, 983, 928, 1784, 60, 50, 66, 1514, 1028, 387, 822, 1826, 2774, 421, 355, 951, 445, 1870, 1632, 453, 1170, 496, 583, 100, 0, 0]",0
80287b426a683795,"[9059, 7994, 7664, 6762, 3239, 645, 2468, 633, 602, 27, 24, 62, 1036, 1930, 1634, 965, 573, 1085, 2179, 555, 2486, 493, 1321, 584, 1552, 1377, 1001, 480, 642, 432, 60, 0, 0]",0
4f548afd6a073da7,"[7772, 6804, 6487, 5759, 2822, 2092, 575, 636, 630, 53, 60, 762, 23, 1625, 590, 483, 1410, 849, 501, 999, 1861, 2051, 1243, 443, 566, 390, 1318, 1155, 786, 416, 626, 299, 70]",0
1ae9003d65bbb5e9,"[8739, 7830, 7478, 6561, 3050, 687, 2181, 678, 600, 30, 928, 26, 1763, 57, 639, 1489, 477, 972, 419, 1214, 2292, 2515, 1444, 440, 373, 1624, 587, 1439, 978, 506, 732, 385, 80]",0
e44f473d65f115a1,"[9711, 8663, 8297, 7399, 612, 613, 3599, 2838, 639, 23, 24, 30, 948, 2359, 660, 2015, 486, 1180, 592, 1238, 2080, 2534, 608, 523, 1411, 725, 1627, 1408, 927, 384, 609, 489, 81]",0
